Sido,Sigun,id,2014_useage,2015_useage,2016_useage,2017_useage,2014_scouter,2015_scouter,2016_scouter,2017_scouter
서울,종로구,11110,"7,410","8,861","6,970","3,789",28,19,21,11
서울,중구,11140,,"2,935","4,901","5,115",,11,7,
서울,용산구,11170,63,"4,994","6,355","8,461",16,11,11,13
서울,성동구,11200,"2,012","8,043","13,170","16,791",16,15,17,23
서울,광진구,11215,"2,014","6,533","5,990","6,183",16,13,11,11
서울,동대문구,11230,,"5,588","7,259",,,11,13,
서울,중랑구,11260,456,"8,448","7,815","8,001",17,13,17,13
서울,성북구,11290,,"6,789","7,600",,,15,13,
서울,강북구,11305,"4,217","10,507","13,833","17,368",20,19,23,23
서울,도봉구,11320,,"3,467","4,800",,,15,11,
서울,노원구,11350,,"5,766","7,296",,,13,13,
서울,은평구,11380,,"6,789","12,556",,,19,19,
서울,서대문구,11410,"5,112","7,227","9,579","12,110",28,15,15,21
서울,마포구,11440,"1,609","1,202","1,039","3,080",28,13,7,7
서울,양천구,11470,"1,579","5,012","7,641","8,224",15,13,13,13
서울,강서구,11500,200,"3,554","4,235","8,572",16,11,7,15
서울,구로구,11530,"8,844","13,580","13,438","16,171",20,26,23,23
서울,금천구,11545,"7,086","18,323","17,781","18,758",16,26,26,25
서울,영등포구,11560,,"16,315","13,152","10,357",,26,24,
서울,동작구,11590,"4,186","8,350","15,268","19,935",13,19,21,25
서울,관악구,11620,,"18,463","14,403",,,25,24,
서울,서초구,11650,,"22,185","15,102",,,25,28,
서울,강남구,11680,346,"3,341","2,448","6,863",16,13,7,11
서울,송파구,11710,,"24,221","13,297",,,19,28,
서울,강동구,11740,"5,876","12,797","15,910","18,930",27,15,21,25
